ranking,world_rank,universities,website,presence_rank,impact_rank,openness_rank,excellence_rank,motto,established,type,chancellor,vice_chancellor,students,undergraduates,postgraduates,academic_staff,administrative_staff,city,state,campus
36,6351,Skyline University Nigeria,https://sun.edu.ng/,15759,3146,7240,6084,''Breaking New Grounds'',"March 21, 2011",Private,[[David Oyedepo|Dr. David O. Oyedepo]],Professor [[Charity Aremu]],2684 (2014),,,,,Omu Aran,[[Kwara State]],Omu-Aran
37,6372,Landmark University,http://lmu.edu.ng/,3650,9178,2833,6084,,,,,,,,,,,,,
38,6398,Delta State University Nigeria,http://www.delsu.edu.ng/,24032,11466,4418,5178,,1982,State-owned University,,Professor Edward Olorunshola Olanipekun,"25,000","23,000","2,000",,,[[Ado Ekiti]],[[Ekiti State|Ekiti]],
39,6471,Ekiti State University Ado Ekiti (University of Ado Ekiti),http://www.eksu.edu.ng/,15531,11251,2745,5624,"Knowledge, Truth, Service",1959,[[Private university|Private]],,Ademola Tayo,"20,000+",,,,,[[Ilishan-Remo]],[[Ogun State]],"Main Campus [[Ilishan-Remo]], Mini Campus [[Iperu, Remo]]"
40,6480,Babcock University,http://www.babcock.edu.ng/,2582,10320,2053,6084,"Knowledge, Food and Security",1992,Public,,Prof. [[Maduebibisi Iwe]],,,,,,[[Umudike]] (main campus),[[Abia State]],
41,7105,Michael Okpara University of Agriculture Umudike,http://mouauportal.edu.ng/,29238,11538,7356,4215,Home of Soaring Eagles,2011,[[public university|Public]],,Professor Elom Sunday Oge,Over 10000,,,,,[[Ikwo]],[[Ebonyi State|Ebonyi]],
42,7340,Federal University Ndufu Alike Ikwo FUNAI,https://www.funai.edu.ng/,8237,10981,2806,6084,,,,,,,,,,,,,
43,7374,Osun State University,http://www.uniosun.edu.ng/,13757,10239,3160,6084,Technology for human advancement,{{start date|August 2002}},[[Public university|Public]],,Prof. Augustine O. Angba,,,,,,[[Calabar]],[[Cross River State]],[[Urban area|Urban]]
44,7415,Cross River State University of Science & Technology Calabar,https://crutech.edu.ng/,20444,13576,5068,5178,Running with a Vision,2005,Private undergraduate & postgraduate,[[Theophilus Danjuma]],Anthony Enisan Akinlo,,,,,,"[[Ede, Osun|Ede]]",[[Osun State]],
45,7482,Redeemer’s University,http://run.edu.ng/,7718,10919,3169,6084,''''University for community development and entrepreneurship''',2009,Public,[[Johnson Adewumi]],Professor Muhammed Mustapha Akanbi,"over 25, 000","over 20,000","over 2,000",,,[[Malete]],[[Kwara State]],Rural
46,7987,Kwara State University,http://www.kwasu.edu.ng/,11963,11264,3559,6084,"Knowledge, Food and Security",1992,Public,,Prof. [[Maduebibisi Iwe]],,,,,,[[Umudike]] (main campus),[[Abia State]],
47,8037,Michael Okpara University of Agriculture Umudike,http://www.mouau.edu.ng/,14068,11706,2992,6084,''Excellence and Service'',1981,[[public university|Public]],[[Tor Tiv]]: His Royal Majesty: [[James Ayatse]],Professor [[Onyemachi Maxwell Ogbulu]],"20,400 [https://whed.net/detail_institution.php?JTo2MF0sQzRgCmAK]",18951,1139,,,[[Uturu]],[[Abia State|Abia]],Rural/suburban
48,8066,Abia State University Uturu,http://abiastateuniversity.edu.ng/,17378,13111,5714,5341,Integrity and Service,2011,[[Public University|Public]],,[[Bichi Armayau Hamisu ]],1000,9400,500,,,"[[Dutsin-Ma, Katsina State]]",,Urban
49,8208,Federal University Dutsin Ma,http://www.fudutsinma.edu.ng/,3504,12635,3402,6084,,{{start date|2016}},Public,,,,,,,,[[Iyamho]],[[Edo State]],Urban
50,8378,Edo University Iyamho,https://www.edouniversity.edu.ng/,5211,12160,3873,6084,To learn and to serve.,2006,[[Public University|Public]],"[[Umaru Mutallab|Dr. Umaru Mutallab]], CON",Professor [[Sunusi Mamman]],"10,856","10,257",599,532,,[[Katsina]],[[Katsina State]],[[urban area|Urban]]
51,8418,Umaru Musa Yar’Adua University (Katsina State University),https://www.umyu.edu.ng/,3823,12123,4146,6084,Loyalty and valour,February 1964,[[Military Academy]],,,"~3,500",,,,,,[[Kaduna]],Afaka and Ribadu
